card,date,real_users
AMD Radeon HD 6410D,2014-09-01,12686
AMD Radeon HD 6410D,2014-10-01,11599
AMD Radeon HD 6410D,2014-11-01,14422
AMD Radeon HD 6410D,2014-12-01,15104
AMD Radeon HD 6410D,2015-01-01,17780
AMD Radeon HD 6410D,2015-05-01,15094
AMD Radeon HD 6410D,2015-06-01,14839
AMD Radeon HD 6410D,2015-09-01,15570
AMD Radeon HD 6410D,2016-01-01,21075
AMD Radeon HD 6410D,2016-02-01,20133
AMD Radeon HD 6410D,2016-03-01,16483
AMD Radeon HD 6410D,2016-05-01,19825
AMD Radeon HD 6410D,2016-07-01,17367
