date, cores, tmus, rops, memory_size, bus_width, release_date, real_users
3647,96.0,12.0,2.0,0,0,3282,115003
3647,96.0,12.0,2.0,0,0,3282,152090
3647,96.0,12.0,2.0,0,0,3282,164163
3647,96.0,12.0,2.0,0,0,3282,178248
3647,96.0,12.0,2.0,0,0,3282,170686
3647,96.0,12.0,2.0,0,0,3282,228659
3647,96.0,12.0,2.0,0,0,3282,240845
4013,96.0,12.0,2.0,0,0,3282,233912
4013,96.0,12.0,2.0,0,0,3282,207147
4013,96.0,12.0,2.0,0,0,3282,220069
4013,96.0,12.0,2.0,0,0,3282,227764
4013,96.0,12.0,2.0,0,0,3282,270733
4013,96.0,12.0,2.0,0,0,3282,305583
4378,96.0,12.0,2.0,0,0,3282,304122
4378,96.0,12.0,2.0,0,0,3282,240079
4378,96.0,12.0,2.0,0,0,3282,231713
4378,96.0,12.0,2.0,0,0,3282,264130
4378,96.0,12.0,2.0,0,0,3282,273385
4378,96.0,12.0,2.0,0,0,3282,231574
4378,96.0,12.0,2.0,0,0,3282,244567
4378,96.0,12.0,2.0,0,0,3282,219743
4378,96.0,12.0,2.0,0,0,3282,252012
4378,96.0,12.0,2.0,0,0,3282,258364
4743,96.0,12.0,2.0,0,0,3282,260775
4743,96.0,12.0,2.0,0,0,3282,230613
4743,96.0,12.0,2.0,0,0,3282,240044
4743,96.0,12.0,2.0,0,0,3282,235389
4743,96.0,12.0,2.0,0,0,3282,331466
5108,96.0,12.0,2.0,0,0,3282,273982
5108,96.0,12.0,2.0,0,0,3282,244962
5108,96.0,12.0,2.0,0,0,3282,237359
5108,96.0,12.0,2.0,0,0,3282,243134
5108,96.0,12.0,2.0,0,0,3282,262683
5108,96.0,12.0,2.0,0,0,3282,233383
5108,96.0,12.0,2.0,0,0,3282,237357
5108,96.0,12.0,2.0,0,0,3282,220889
5108,96.0,12.0,2.0,0,0,3282,254509
5108,96.0,12.0,2.0,0,0,3282,234238
5108,96.0,12.0,2.0,0,0,3282,222899
5474,96.0,12.0,2.0,0,0,3282,134970
5474,96.0,12.0,2.0,0,0,3282,101739
5474,96.0,12.0,2.0,0,0,3282,74775
5474,96.0,12.0,2.0,0,0,3282,76969
5839,96.0,12.0,2.0,0,0,3282,72662
5839,96.0,12.0,2.0,0,0,3282,70809
5839,96.0,12.0,2.0,0,0,3282,89028
5839,96.0,12.0,2.0,0,0,3282,139324
5839,96.0,12.0,2.0,0,0,3282,139701
5839,96.0,12.0,2.0,0,0,3282,128147
5839,96.0,12.0,2.0,0,0,3282,122687
5839,96.0,12.0,2.0,0,0,3282,113866
5839,96.0,12.0,2.0,0,0,3282,117740
5839,96.0,12.0,2.0,0,0,3282,98437
5839,96.0,12.0,2.0,0,0,3282,111623
5839,96.0,12.0,2.0,0,0,3282,127699
6204,96.0,12.0,2.0,0,0,3282,120509
6204,96.0,12.0,2.0,0,0,3282,107970
6204,96.0,12.0,2.0,0,0,3282,105971
6204,96.0,12.0,2.0,0,0,3282,94843
6204,96.0,12.0,2.0,0,0,3282,106694
6204,96.0,12.0,2.0,0,0,3282,93443
6204,96.0,12.0,2.0,0,0,3282,98455
6204,96.0,12.0,2.0,0,0,3282,90735
6204,96.0,12.0,2.0,0,0,3282,96575
6204,96.0,12.0,2.0,0,0,3282,81392
6204,96.0,12.0,2.0,0,0,3282,83710
6204,96.0,12.0,2.0,0,0,3282,94354
6569,96.0,12.0,2.0,0,0,3282,85995
6569,96.0,12.0,2.0,0,0,3282,96615
6569,96.0,12.0,2.0,0,0,3282,98117
6569,96.0,12.0,2.0,0,0,3282,133406
6569,96.0,12.0,2.0,0,0,3282,134037
6569,96.0,12.0,2.0,0,0,3282,106010
6569,96.0,12.0,2.0,0,0,3282,97194
6569,96.0,12.0,2.0,0,0,3282,85474
6569,96.0,12.0,2.0,0,0,3282,89973
6569,96.0,12.0,2.0,0,0,3282,93996
6569,96.0,12.0,2.0,0,0,3282,97495
6569,96.0,12.0,2.0,0,0,3282,80250
6935,96.0,12.0,2.0,0,0,3282,96809
6935,96.0,12.0,2.0,0,0,3282,88479
6935,96.0,12.0,2.0,0,0,3282,86668
6935,96.0,12.0,2.0,0,0,3282,83133
6935,96.0,12.0,2.0,0,0,3282,81305
6935,96.0,12.0,2.0,0,0,3282,82117
6935,96.0,12.0,2.0,0,0,3282,87907
6935,96.0,12.0,2.0,0,0,3282,76570
6935,96.0,12.0,2.0,0,0,3282,78357
6935,96.0,12.0,2.0,0,0,3282,80362
6935,96.0,12.0,2.0,0,0,3282,83668
6935,96.0,12.0,2.0,0,0,3282,77446
7300,96.0,12.0,2.0,0,0,3282,84364
7300,96.0,12.0,2.0,0,0,3282,80014
7300,96.0,12.0,2.0,0,0,3282,72250
7300,96.0,12.0,2.0,0,0,3282,78875
7300,96.0,12.0,2.0,0,0,3282,67499
7300,96.0,12.0,2.0,0,0,3282,69326
7300,96.0,12.0,2.0,0,0,3282,51060
7300,96.0,12.0,2.0,0,0,3282,66982
7300,96.0,12.0,2.0,0,0,3282,56382
7300,96.0,12.0,2.0,0,0,3282,59483
7300,96.0,12.0,2.0,0,0,3282,65035
7300,96.0,12.0,2.0,0,0,3282,64122
7665,96.0,12.0,2.0,0,0,3282,73979
7665,96.0,12.0,2.0,0,0,3282,60612
